name_song,artist,launch_date,genre,youtube_link
Blinding Lights,The Weeknd,2019,Pop,https://youtu.be/4NRXx6U8ABQ
Shape of You,Ed Sheeran,2017,Pop,https://youtu.be/JGwWNGJdvx8
Bad Guy,Billie Eilish,2019,Pop,https://youtu.be/DyDfgMOUjCI
Levitating,Dua Lipa,2020,Pop,https://youtu.be/TUVcZfQe-Kw
"Thank U, Next",Ariana Grande,2018,Pop,https://youtu.be/gl1aHhXnN1k
Roar,Katy Perry,2013,Pop,https://youtu.be/CevxZvSJLk8
Senorita,Shawn Mendes,2019,Pop,https://youtu.be/Pkh8UtuejGw
Don't Start Now,Dua Lipa,2020,Pop,https://youtu.be/oygrmJFKYZY
Watermelon Sugar,Harry Styles,2019,Pop,https://youtu.be/E07s5ZYygMg
Dance Monkey,Tones and I,2019,Pop,https://youtu.be/q0hyYWKXF0Q
Bohemian Rhapsody,Queen,1975,Rock,https://youtu.be/fJ9rUzIMcZQ
Stairway to Heaven,Led Zeppelin,1971,Rock,https://youtu.be/QkF3oxziUI4
Hotel California,Eagles,1976,Rock,https://youtu.be/09839DpTctU
Sweet Child O' Mine,Guns N' Roses,1988,Rock,https://youtu.be/1w7OgIMMRc4
Back in Black,AC/DC,1980,Rock,https://youtu.be/pAgnJDJN4VA
Smells Like Teen Spirit,Nirvana,1991,Rock,https://youtu.be/hTWKbfoikeg
Wonderwall,Oasis,1995,Rock,https://youtu.be/6hzrDeceEKc
Enter Sandman,Metallica,1991,Rock,https://youtu.be/CD-E-LDc384
Livin' on a Prayer,Bon Jovi,1986,Rock,https://youtu.be/lDK9QqIzhwk
Black,Pearl Jam,1991,Rock,https://youtu.be/qgaRVvAKoqQ
Sicko Mode,Travis Scott,2018,Hip Hop,https://youtu.be/6ONRf7h3Mdk
Gods Plan,Drake,2018,Hip Hop,https://youtu.be/xpVfcZ0ZcFM
HUMBLE.,Kendrick Lamar,2017,Hip Hop,https://youtu.be/tvTRZJ-4EyI
Old Town Road,Lil Nas X,2019,Hip Hop,https://youtu.be/r7qovpFAGrQ
In Da Club,50 Cent,2003,Hip Hop,https://youtu.be/5qm8PH4xAss
Juicy,The Notorious B.I.G.,1994,Hip Hop,https://youtu.be/_JZom_gVfuw
Mo Bamba,Sheck Wes,2018,Hip Hop,https://youtu.be/VWoIpDVkOH0
Go Hard 2.0,Juice WRLD,2020,Hip Hop,https://youtu.be/76-3t3g_Mig
F*** the Police,N.W.A,1988,Hip Hop,https://youtu.be/qZuxPKUVGiw
DNA.,Kendrick Lamar,2017,Hip Hop,https://youtu.be/NLZRYQMLDW4
Animals,Martin Garrix,2013,EDM,https://youtu.be/gCYcHz2k5x0
Wake Me Up,Avicii,2013,EDM,https://youtu.be/IcrbM1l_BoI
Closer,The Chainsmokers,2016,EDM,https://youtu.be/PT2_F-1esPk
Lean On,Major Lazer,2015,EDM,https://youtu.be/YqeW9_5kURI
Titanium,David Guetta,2011,EDM,https://youtu.be/JRfuAukYTKg
Scared to Be Lonely,Dua Lipa & Martin Garrix,2017,EDM,https://youtu.be/e2vBLd5Egnk
Faded,Alan Walker,2015,EDM,https://youtu.be/60ItHLz5WEA
Taki Taki,DJ Snake,2018,EDM,https://youtu.be/ixkoVwKQaJg
Don't You Worry Child,Swedish House Mafia,2012,EDM,https://youtu.be/1y6smkh6c-0
One More Time,Daft Punk,2000,EDM,https://youtu.be/FGBhQbmPwH8
Despacito,Luis Fonsi ft. Daddy Yankee,2017,Latino,https://youtu.be/kJQP7kiw5Fk
La Bicicleta,"Carlos Vives, Shakira",2017,Latino,https://youtu.be/-UV0QGLmYys
Con Calma,Daddy Yankee & Snow,2019,Latino,https://youtu.be/DiItGE3eAyQ
Mi Gente,"J Balvin, Willy William",2017,Latino,https://youtu.be/wnJ6LuUFpMo
Taki Taki,"DJ Snake ft. Selena Gomez, Ozuna, Cardi B",2018,Latino,https://youtu.be/ixkoVwKQaJg
Dakiti,Bad Bunny x JHAY CORTEZ,2020,Latino,https://youtu.be/TmKh7lAwnBI
Vivir Mi Vida,Marc Anthony,2013,Latino,https://youtu.be/YXnjy5YlDwk
El Farsante (Remix),Ozuna x Romeo Santos,2018,Latino,https://youtu.be/wfWkmURBNv8
La Gozadera,Gente de Zona ft. Marc Anthony,2016,Latino,https://youtu.be/VMp55KH_3wo
Propuesta Indecente,Romeo Santos,2013,Latino,https://youtu.be/QFs3PIZb3js
Gangnam Style,PSY,2012,Coreano,https://youtu.be/9bZkp7q19f0
Boy With Luv,BTS,2019,Coreano,https://youtu.be/XsX3ATc3FbA
DDU-DU DDU-DU,BLACKPINK,2018,Coreano,https://youtu.be/IHNzOHi8sJs
Love Scenario,iKON,2018,Coreano,https://youtu.be/vecSVX1QYbQ
How You Like That,BLACKPINK,2020,Coreano,https://youtu.be/ioNng23DkIM
Fake Love,BTS,2018,Coreano,https://youtu.be/7C2z4GqqS5E
Blood Sweat & Tears,BTS,2016,Coreano,https://youtu.be/hmE9f-TEutc
LILAC,IU,2021,Coreano,https://youtu.be/v7bnOxV4jAc
Bad Boy,Red Velvet,2019,Coreano,https://youtu.be/J_CFBjAyPWE
IDOL,BTS,2018,Coreano,https://youtu.be/pBuZEGYXA6E
Guren no Yumiya,Linked Horizon,2013,Japones,https://youtu.be/2B6nj38AdD0
Heavy Rotation,AKB48,2010,Japones,https://youtu.be/lkHlnWFnA0c
Lemon,Kenshi Yonezu,2018,Japones,https://youtu.be/SX_ViT4Ra7k
Pretender,Official HIGE DANDism,2019,Japones,https://youtu.be/TQ8WlA2GXbk
Uchiage Hanabi,Daoko feat. Kenshi Yonezu,2017,Japones,https://youtu.be/-tKVN2mAKRI
Black Rover,Vickeblanka,2018,Japones,https://youtu.be/VSucxMB_Z6k
365 Nichi no Kamihikouki,AKB48,2016,Japones,https://youtu.be/JUbU6VLV6yI
Go!!!,FLOW,2004,Japones,https://youtu.be/AE4b9jO1uB4
Nandemonaiya,Masaki Suda,2020,Japones,https://youtu.be/hkBbUf4oGfA
Hikari no Uta,Koda Kumi,2021,Japones,https://youtu.be/JiWEZbm6lhI
NEON BLADE,MoonDeity,2022,Phonk BR,https://youtu.be/dvQJIgjlR3I
METAMORPHOSIS,INTERWORLD,2022,Phonk BR,https://youtu.be/NS9z2QHcZdY
OVERDO$E,PHARMACIST,2022,Phonk BR,https://youtu.be/QHwNFf1tzUk
Life in Rio,"Slowboy, NUEKI, Crazy Mano",2023,Phonk BR,https://youtu.be/_g1_mG6Ru3M
MONTAGEM - PR FUNK,"S3BZS, Mc Menor Do Alvorada, Mc Gw",2023,Phonk BR,https://youtu.be/5QRi29jKeHE
GigaChad Theme,g3ox_em,2022,Phonk BR,https://youtu.be/OVh0bMNSFss
BIBI PHONK BR,"Bibi Babydoll, DJ FKU",2023,Phonk BR,https://youtu.be/JmatYW77zN8
Why Not,Ghostface Playa,2022,Phonk BR,https://youtu.be/Hh5jEQraXaw
MURDER IN MY MIND,KORDHELL,2022,Phonk BR,https://youtu.be/w-sQRS-Lc9k
BRAZILIAN DANCA PHONK,"6ynthmane, RXDXVIL",2023,Phonk BR,https://youtu.be/D27Cvj1h_qk
